"Diagram Data","Price","Salesperson","Stock Number","Vehicle Information","Creation Date","unique id"
"1723048993646x914672768524222500","46500","1723048806279x328777167745581060","350974","1723048993646x690027782589382700","Aug 7, 2024 6:43 pm","1723048993646x640222234374832100"
"1723048995049x407898746853785600","46500","1723048806279x328777167745581060","350971","1723048995049x576616068988796900","Aug 7, 2024 6:43 pm","1723048995049x937228812943360000"
"1723048995917x778814573294125000","48500","1723048806279x328777167745581060","230902","1723048995917x327612404713127940","Aug 7, 2024 6:43 pm","1723048995917x494119811246194700"
"1723048996677x473845874098176000","47500","1723048806279x328777167745581060","53685","1723048996677x303583267433480200","Aug 7, 2024 6:43 pm","1723048996677x217848619783946240"
"1723048998049x327899042686697500","49500","1723048806279x328777167745581060","87222","1723048998049x154028076117786620","Aug 7, 2024 6:43 pm","1723048998049x827709002808033300"
"1723048998989x899790810460979200","16500","1723048806279x328777167745581060","112553","1723048998989x298782562444116000","Aug 7, 2024 6:43 pm","1723048998989x783861401775767600"
"1723049001043x773123334854410200","28000","1723048806279x328777167745581060","30969","1723049001043x118948538273234940","Aug 7, 2024 6:43 pm","1723049001043x393412398806466560"
"1723049002331x180128214038609920","39500","1723048806279x328777167745581060","50918","1723049002331x915472618194468900","Aug 7, 2024 6:43 pm","1723049002331x637388552366719000"
"1723049003261x130396040003584000","45000","1723048806279x328777167745581060","36303","1723049003261x468486966649028600","Aug 7, 2024 6:43 pm","1723049003261x598435067299102700"
"1723049004099x635439305204957200","25500","1723048806279x328777167745581060","23197","1723049004099x609496282366476300","Aug 7, 2024 6:43 pm","1723049004099x136897094029410300"
"1723049004207x432131138263449600","22500","1723048806279x328777167745581060","41001","1723049004207x829179695273082900","Aug 7, 2024 6:43 pm","1723049004207x468046031937863700"
"1723049005037x878323894480011300","29500","1723048806279x328777167745581060","21145","1723049005037x804593417752412200","Aug 7, 2024 6:43 pm","1723049005037x744728302863515600"
"1723049007069x999598862338097200","32500","1723048806279x328777167745581060","53673","1723049007069x296333322133176300","Aug 7, 2024 6:43 pm","1723049007069x301889127287881700"
"1723049008948x834332468954267600","95000","1723048806279x328777167745581060","4408","1723049008948x252886103502356480","Aug 7, 2024 6:43 pm","1723049008948x987291169752612900"
"1723049009845x615564403812859900","65000","1723048806279x328777167745581060","8432","1723049009845x339256601750274050","Aug 7, 2024 6:43 pm","1723049009845x968453832513421300"
"1723049010707x737160675765780500","15500","1723048806279x328777167745581060","25933","1723049010707x373829036856049660","Aug 7, 2024 6:43 pm","1723049010707x478324289007779840"
"1723049010799x667309413547114500","19500","1723048806279x328777167745581060","21896","1723049010799x201584511784058880","Aug 7, 2024 6:43 pm","1723049010799x385939936675102700"
"1723049012243x191497445166284800","97500","1723048806279x328777167745581060","414157","1723049012243x284915411198148600","Aug 7, 2024 6:43 pm","1723049012243x674488032019611600"
"1723049013406x219926868334477300","24500","1723048806279x328777167745581060","294635","1723049013406x770514446865662000","Aug 7, 2024 6:43 pm","1723049013406x842724032337674200"
"1723049016424x181926072139382800","12000","1723048806279x328777167745581060","684045","1723049016424x495227807130976260","Aug 7, 2024 6:43 pm","1723049016424x972798955813863400"
"1723049017524x628851102664622100","37500","1723048806279x328777167745581060","246315","1723049017524x838166284009734100","Aug 7, 2024 6:43 pm","1723049017524x512591056818667500"
"1723049028808x482503230758846460","37500","1723048806279x328777167745581060","250854","1723049028808x690178870040068100","Aug 7, 2024 6:43 pm","1723049028808x368894118444138500"
"1723049030033x620289656735137800","76500","1723048806279x328777167745581060","327194","1723049030033x640877056271581200","Aug 7, 2024 6:43 pm","1723049030033x596718956032294900"
"1723049031088x170076456927887360","27500","1723048806279x328777167745581060","573656","1723049031088x514467892715061250","Aug 7, 2024 6:43 pm","1723049031088x766543109942149100"
"1723049032994x619865204137132000","9500","1723048806279x328777167745581060","717745","1723049032994x128916360704819200","Aug 7, 2024 6:43 pm","1723049032994x729463732815790100"
"1723049034794x148005268233912320","9500","1723048806279x328777167745581060","712085","1723049034794x846910706303631400","Aug 7, 2024 6:43 pm","1723049034794x592633342725718000"
"1723049035996x240966123572953100","9500","1723048806279x328777167745581060","712089","1723049035996x136840270743863300","Aug 7, 2024 6:43 pm","1723049035996x229496247257399300"
"1723049037244x812697627153924100","9500","1723048806279x328777167745581060","712090","1723049037244x517838386511478800","Aug 7, 2024 6:44 pm","1723049037244x475311651658137600"
"1723049038363x475270126415642600","9500","1723048806279x328777167745581060","717746","1723049038363x717199858440601600","Aug 7, 2024 6:44 pm","1723049038363x739815548141436900"
"1723049039921x444355733525626900","9500","1723048806279x328777167745581060","736291","1723049039921x227346745103482880","Aug 7, 2024 6:44 pm","1723049039921x530147305901522940"
"1723049040968x636951740460564500","9500","1723048806279x328777167745581060","712078","1723049040968x209579013116002300","Aug 7, 2024 6:44 pm","1723049040968x367007442781077500"
"1723049042190x789092538234961900","9500","1723048806279x328777167745581060","712081","1723049042190x257205551176351740","Aug 7, 2024 6:44 pm","1723049042190x129088351987826690"
"1723049043340x917946112438435800","9500","1723048806279x328777167745581060","712082","1723049043340x425280659760087040","Aug 7, 2024 6:44 pm","1723049043340x113892607076859900"
"1723049044604x878411089684725800","9500","1723048806279x328777167745581060","712091","1723049044604x219057469345497100","Aug 7, 2024 6:44 pm","1723049044604x940748131815915500"
"1723049044707x666421483238588400","9500","1723048806279x328777167745581060","712088","1723049044707x219387712446398460","Aug 7, 2024 6:44 pm","1723049044707x854686270386339800"
"1723049045925x339317328843374600","10500","1723048806279x328777167745581060","80362","1723049045925x176793019066351600","Aug 7, 2024 6:44 pm","1723049045925x144816292526293000"
"1723049047071x433255964125954050","20000","1723048806279x328777167745581060","176265","1723049047071x383686754783985660","Aug 7, 2024 6:44 pm","1723049047071x877284170112172000"
"1723049052760x365158404605870100","17500","1723048806279x328777167745581060","HS7099","1723049052760x293426586957643800","Aug 7, 2024 6:44 pm","1723049052760x442735105561067500"
"1723049054100x576954453721350100","19000","1723048806279x328777167745581060","HR2760","1723049054100x112080531467010050","Aug 7, 2024 6:44 pm","1723049054100x119260195523919870"
"1723049055288x114854478301888510","17500","1723048806279x328777167745581060","HS7097","1723049055288x150495451971846140","Aug 7, 2024 6:44 pm","1723049055288x271417440323502080"
"1723049057177x677500813429702700","","1723048806279x328777167745581060","BN1471","1723049057177x414740768586465300","Aug 7, 2024 6:44 pm","1723049057177x510410884487053300"
"1723049058583x485654956963528700","16000","1723048806279x328777167745581060","JE3491","1723049058583x817239718692388900","Aug 7, 2024 6:44 pm","1723049058583x536140031333236740"
"1723049059546x905100243497386000","13000","1723048806279x328777167745581060","HS7043","1723049059546x982807487459360800","Aug 7, 2024 6:44 pm","1723049059546x868410213138432000"
"1723049060654x873692719247261700","19000","1723048806279x328777167745581060","HR2578","1723049060654x373505049473843200","Aug 7, 2024 6:44 pm","1723049060654x820906789440061400"
"1723049060754x542076085670248450","17500","1723048806279x328777167745581060","JE3490","1723049060754x196500271322628100","Aug 7, 2024 6:44 pm","1723049060754x423598048738279400"
"1723049062966x733584190066917400","17500","1723048806279x328777167745581060","HS7062","1723049062966x223971136800292860","Aug 7, 2024 6:44 pm","1723049062966x665673831023378400"
"1723049074152x667771456714178600","69500","1723048806279x328777167745581060","HV6002","1723049074152x228398717810507780","Aug 7, 2024 6:44 pm","1723049074152x265595691125964800"
"1723049075685x436962915743170560","17500","1723048806279x328777167745581060","HS7098","1723049075685x697327402057203700","Aug 7, 2024 6:44 pm","1723049075685x855672000698646500"
